model,difference
"The Sziget Festival is my favorite. This big festival lasts for one week, on an island on the gorgeous Danube River in Hungary. Sziget is a special place with a forest. There are 250 entertaining, crowded events every day. They have popular music and art exhibitions. People usually camp in the forest and have great fun.  ",1
"In my country, the price of everything is going up. Housing is very expensive, and the price of gasoline is increasing quickly. I don't know how people do it. The cost of living is very difficult. Transportation and food are not expensive, but they are going up. I need a good job!  ",1
"I am an illustrator for a design company. I love my work. I illustrate people and clothing. I also supervise one other artist. Before this job, I worked as a designer in a very small clothing company for about one year. Business was very bad, and I was unhappy. Before that, I was a university student. I studied art.  ",1
"This Sunday night, there is going to be a lecture, 'Beautiful Paris.' Martin Johnson is going to talk about beautiful buildings in Paris. The lecture starts at 8 p.m. It's at the Wells Auditorium. Admission is free. I like buildings, so I'm thinking about going.  ",1
"March 26, 2015      
To whom it may concern:      
I am writing to highly recommend James Mole. I worked with Mr. Mole for two years at Sunset Computers.      
Mr. Mole was product manager of R&D. He was always hardworking, efficient and well-organized. Please feel free to contact me about James at veronica.james@sunset.com.       
Sincerely,      
Veronica James   
Vice President of R&D   
Sunset Computers 
 ",1
"There was a murder in my city last year. A woman killed her husband. The police found his body in the park. The police thought it was theft. The man had no money. But, four days later, they arrested his wife. It was really scary.  ",1
"I was born in 1970. I graduated from high school when I was 18. I got my first car after I graduated. I also got my first job. After I got my job, I moved out of my parents' house. I met my husband at work. We fell in love and got married in 1995. We now have four kids!  ",1
"Dear Clay,     

I had a great time at the party last night. Thanks so much for inviting me. Your friends are really nice. I hope that we meet again soon. Thanks again.
Sincerely,
Karen
      ",1
"June 10      
Dear Dad and Mom,      
How are you both? L'viv, Ukraine, was really cool. I took a tour so that I could understand the history of the gorgeous buildings. When I left L'viv, I learned that few people speak English. In order to eat and find hotels, I'm speaking some Ukrainian and smiling a lot!      

Love,      
Martyn
  ",1
"I absolutely love traveling. I've traveled to 11 countries. I've seen Anne Frank's house and Iguazu Falls. I've camped in Yosemite National Park, walked across the Tower Bridge, bought fancy clothes and taken an elephant tour.      
I haven't been to Africa yet, but I really want to go. My trip last month to Thailand was difficult. The flight took 17 hours. When I arrived, customs took my cellphone, and I had to buy a new one!  
",1
"My name is Cody. I live in Nome, Alaska. Alaska is the biggest state in the United States. We have incredible nature in my state. There are a lot of forests and mountains. Mount McKinley is the highest mountain in North America. I'd suggest you hike Mount McKinley. I often see grizzly bears, wolves and deer. Don't go hiking alone.  
",1
"I first met my colleague, Jamie, when I was getting coffee at the office eight years ago. She was putting five spoons of sugar in her cup when I walked into the coffee room. When I saw that, I really liked her. She has gorgeous red hair and a funny laugh, like a little mouse. She has lived in 12 countries; Tanzania was the most interesting. Jamie and I enjoy working on projects together. We won $1,000 last year from our company for best design idea. Jamie is my colleague, but now she's also my old friend.  
",1
"The Great Wall is my favorite restaurant. They serve authentic Chinese food. They have many different appetizers and entrees. The shrimp soup is an excellent appetizer, and the spicy beef entree is delicious. The restaurant is noisy, but all the servers are friendly and everybody has fun. The prices are very reasonable – most entrees are between $10 and $15. Desserts are not their specialty, but they always have ice cream. The restaurant is very busy on the weekends, so make a reservation. 
 ",1
"I just saw 'Rear Window.' What an amazing movie! 'Rear Window' was made in 1954 and was directed by the famous Alfred Hitchcock. 'Rear Window' is a dark story, like most Hitchcock movies. L.B. is played by James Stewart. L.B. is a photographer, but his leg is broken. He has to stay home, so he watches his neighbors through their windows. I felt sorry for his poor neighbors! Soon, L.B. begins using his camera to fight evil. I saw the remake in 1998, but it's not the same. Daryl Hannah's acting was dreadful!  
",1
"Most of my clothes are way too expensive. I'd rather wear cool brands from a small shop than a cheap, polyester thing from a department store. I prefer silk and wool to cotton and leather. I like wearing red, yellow and orange more than dark, boring colors. I just bought a fantastic, new, orange, Spanish, leather handbag. I absolutely love it!  
",1
"To: Adam@NL.com; Chris@NL.com; Taylor@NL.com   
From: Prasad@NL.com     
Subject: Summary of sales meeting      

Dear team,      

Here's a summary of our sales meeting:   
*   Adam asked how many new customers we have.       Taylor said we have about 50 new customers.   
*  Chris asked what we're doing to increase sales.       Taylor said we should pay more to salespeople with big sales.      

Action item:   
*  Taylor said that we need to think of anything else that will increase sales.      

Thanks.      
Prasad
            ",1
"I had an accident last winter when I was arriving at work. I was coming into the building, climbing the steps, when I slipped on the icy floor. I fell down the steps and broke my ankle. I also sprained my left wrist and bruised my back badly. I had to go to the hospital, and I stayed there for three days. It hurt a lot! I had to stay at home for two more weeks before I could go back to work.  
",1
" I worked for a company that made sunglasses. The glasses were really nice, but the employees weren't happy. The communication between management and employees was very bad. The boss didn't know what to do. Finally, the boss decided that the solution was to have a team meeting with management and employees every week. That was a very good idea. The communication got better, and employee morale also got better.  
",1
"To: Mason.Lowery@indi.com; rico@pendant.org   
From: elsal@fashionmista.com   
Subject: Milan networking event      

Hi, Mason and Rico.      

I just returned from a successful networking event in Milan. There were hundreds of fashion designers at La Mirada sharing contacts and ideas for new looks. I think that Roman Scalio was excited about my spring designs. Maybe he'll call me! I guess that he liked the Balinese fabrics.      

I'll tell you more on Monday!      
Elsa
  ",1
"I am proposing a hiring freeze as a way to cut expenses. I know that some people believe that layoffs are a quick way to save money. I think layoffs have more disadvantages than advantages. The biggest disadvantage would be employee morale. Our staff is too important! So, as staff retires or leaves the company, we would not replace them. We would find ways to do our work with the employees we have. I suggest that we meet and talk about my proposal at our next meeting.  
",1
"Crazy Alien 1 is a kind of video game. You have to fight millions of angry, green aliens to save Earth. You have to put your finger on your spaceship. If you hold your finger for one second, your spaceship flies. If you hold it for two, your spaceship shoots. If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens. You're allowed to use the Door of Destruction once. When you kill 5 million aliens, you're allowed to move to Crazy Alien 2.  
",1
"I'm generally very optimistic about the future. I believe that gasoline will be gone by the year 2100. I think that's completely realistic. We will use the sun and wind for electricity, and most cars will be electric cars. A scientist at Sunlight Motors demonstrated an electric car that can go almost 250 kilometers between charges. Many people are buying electric cars now. I think that pollution will decrease a lot over the next 10 or 20 years. Life will be good in the future.  
",1
"Dear Allen,      

You and I have been friends for a long time, so I know I can be honest with you. I've decided to quit my job and go back to school. If I were married and had kids, I would keep my job. But I'm single, and I only have to worry about myself.      

My dream has always been to work with animals. I'm hoping to get some kind of animal medical degree. Then I can help sick and homeless animals. That would make me very happy.      

Thanks for being such a good friend.      
Kevin  
",1
"To whom it may concern:      

I am writing in response to your online ad for a computer programmer. I have a certificate in computer programing and three years' experience in the business. I am a hardworking, motivated person, and I love a challenge. I have attached my resume.      

You can reach me anytime at 495-555-0921.      
I look forward to hearing from you.      
Sincerely,      
Lisa Hayes
  ",1
"I feel strongly that there are too many commercials on TV in my country. For example, most shows have 20 minutes of commercials an hour. Every 10 minutes, they stop the story to show some commercials. In my opinion, the commercials are also very successful because of the jingles. First, you hear a soda jingle. Soon, you are loudly singing that jingle in the kitchen with a big glass of their soda in your hand. Basically, I can't stand commercials. We need to ask for more restrictions on them.  
",1
"In the US, the trend is to give lots of tests to students. I'm all for tests if they're written well, but I'm against them when they have too much importance. For example, it's common for a student to fail the grade if they fail a test.     Another trend is for older people to take college courses. Many 60-year-olds are going back to school. I totally support that idea. Some 18-year-olds aren't even in college. Some of them work for a few years until they figure out what they want to do, and some don't go to college at all.  
",1
"Dear Sarah,       

I haven't seen you for a long time, and I wanted to give you some news. Do you remember Jane and Sam? We were all friends in college, right? Well, Jane called me last night. She told me that they were going to get married! It's great news. I couldn't believe it myself. You see, they broke up six months ago, but now they are back together again. And Jane mentioned that they are even talking about starting a family!      

I'll let you know what happens.      
Write soon, and tell me all your news.      
Take care.      
Paula
  ",1
"I just listened to the song 'Home Improvement' by Josh Woodward. It's a folk-rock tune, and I think it's pretty catchy. I listened to it five times, and I can't get it out my head. Josh's voice is rough and edgy. He doesn't have much of a range, but he hits a few high notes. I was also a little confused. The mood of the song is kind of happy because of the quick, addictive beat. But I think that the lyrics are political, sad and sentimental. Very interesting! I recommend this music when you want a beat and some politics in one song.  ",1
"The office culture where I work is very formal but sometimes fun. I have to wear a suit and tie every day. Women wear skirts or dresses. The other dress code rules are: no crazy hair colors, and no sneakers.        

There are about 45 people in the office. I'm very friendly with some of the other employees. We often eat lunch together and go out for dinner in the evening. Other employees play table tennis and badminton on Thursday afternoons.     

Most people work 50 hours a week, more or less. It can sometimes be difficult to maintain a healthy work-life balance. I try not to work too late in the evenings. I also take approximately two weeks' vacation each year. 
 ",1
"My dream is to be a lawyer for the rich and famous. I trained to be a lawyer at Pennsylvania State University. However, I still have to pass one final test, called the bar exam. After I pass the bar exam, I plan to move to Los Angeles. In 10 years' time, I want to open my own law practice. Although I intend to be a personal lawyer for the rich and famous in California, I still want to help other people, too.        
",1
"Hi, Mr. Barnes.     

I'm writing regarding the meeting I had last night with Sally Cassidy, the VP for GXC Solutions. I have very positive news. The meeting went very well.     

We reviewed the past year, and Sally told me she was very happy with the relationship between our companies. She told me that GXC Solutions want to increase their purchases from us by 20%. I was extremely happy to hear that.     

One more thing: Their business is growing and, as a result, our relationship is growing, too. Sally said she wants to meet us soon to talk about a number of future opportunities. It's all very exciting! I will give you all the details when I get back.     

Best,     
Susan 
 ",1
"My new tablet computer has completely changed my life. First of all, it has positively affected how I work. Before I bought my tablet, I'd been using a desktop computer. When I traveled, I couldn't use any of my applications or work on my projects. The tablet is so powerful that I can be productive wherever I am.     Secondly, the tablet has made me rethink texting. I had been texting from my smartphone, which was difficult and slow, as the keyboard was so small. The tablet allows me to text quickly with a larger, more normal keyboard – and I can use the same software. It's true that the tablet computer was very expensive, but I'm really glad I got it.  
",1
"I first met my husband when I was flying from New York to Paris. He wasn't sitting next to me. He was serving me! Yes, he was a flight attendant on the flight. He was very attractive, and he seemed very nice. Plus, I loved his French accent. We talked a bit during the flight, and I thought that was it. Just as I was getting off the plane, he stopped me and asked if I would join him for a glass of wine that evening. I'm normally not very adventurous, but I said yes. I was in Paris, and why not? We were married nine months later, and now I call Paris my home.  
",1
"Francis and I recently ate at a new restaurant called 1876. I had called to make reservations, and the employee was very friendly. She put us down for a 7 p.m. reservation. When we arrived, the place looked beautiful. There were candles everywhere, and the server gave us a fantastic, free appetizer. I ordered the asparagus quiche, and it came with a side of spicy corn on the cob. It was unbelievable! As soon as we finished the main course, we both ordered the cheesecake brownie. It was two classic desserts in one! The food was definitely not low-fat, but the chef said that it's mostly local and organic. Everything was delicious and unusual, so we'll probably go again. 
 ",1
"I'll never forget the first house my husband and I bought. It was very small, but we really loved it. The price was $240,000. We didn't have that much money, so we made an offer of $200,000. The owner made a counteroffer of $230,000. We said that we were sorry, but we just didn't have the money. We also told the owner how much we loved the house and wished her good luck. We continued to look at other houses, but couldn't find anything we loved. Then, suddenly, we heard from the owner. The house was ours for $200,000. I asked her why. She said that one other couple had offered more, but she decided to sell it to us because we loved the house so much. We were very happy in that house.  
",1
"Last week, I consulted with a financial planner. She said that if I want to retire when I'm 63, everything should be okay. Before 2025, I will have saved nearly $250,000. By that time, I also will have become a vice president at Dallas and Associates, where I work. Hopefully, I will have gotten married and have three children, too. Before I retire, my investments will have earned more than $2 million. My family will have traveled in Asia, and my children will have graduated from college. Maybe my husband and I will have found a little home in the country where we can retire. 
     ",1
"In my country, we have very strict laws about driving and drinking alcohol. I think the laws are so strict because, in the past, there were many terrible accidents caused by drinking and driving. The first time the police catch you drinking and driving, you lose your license. You can also go to jail. A friend of mine lost his license, and he's really angry because it's difficult for him to get to work. I think the laws might be a little bit too strict, but the number of accidents has decreased dramatically. People are afraid to drink and drive, and that's a good thing.  
",1
"When I was a kid, we had the biggest blizzard in 100 years. It was called the Blizzard of '78. It was crazy. There was no traffic on the roads, and everything was closed. It was impossible to move! I was happy because I didn't have school for a whole week. But for other people, it was more difficult – for example, people who needed to get to the hospital to have a baby or get other help. Those people were assisted by the military. It was amazing! The police couldn't take care of things, so the military was called in. It was a real adventure.      
",1
"If you're invited to a Scottish home, do you know the correct etiquette? Here are some tips:     

Do     
- Bring a small gift, to say thank you. A bottle of wine, bunch of flowers, or box of chocolates is usually enough     - Compliment your host on the cooking     
- Clean your plate 
– Scots want you to enjoy their cooking, and leaving half of it on your plate can be seen as an insult     

Don't     
- Talk about money, religion or politics, unless your host brings up the topic     
- Take off your shoes at the door, unless your host asks you to     
- Smoke, unless you know your host also smokes. Even then, only smoke when he or she does  
",1
"At the very beginning of the meeting the CEO said that the company was in financial trouble and they had to move quickly. The CFO agreed and suggested that the only solution was to agree to a merger with their biggest competitor. The COO argued that they still had the best technology and that there must be another way. They all agreed that the company hadn't done a very good job of marketing their products. Finally, the CEO decided that they should delay any decision and schedule another meeting. I agree with the CEO's decision. We should think carefully about what we do next.  
",1
"Is gender equality still a hot topic in the UK? You bet. There are many women in leading roles in business, art and politics, but it could be said these women are over-achieving, and that most women do not share in this success.     In 2010, men still earned 10 percent more than women; yet in 1943, when women worked in industry and manufacturing during World War II, it must have seemed so different.     When Margaret Thatcher became prime minister in 1979, the role of women in society was not clearly defined. She was nicknamed 'the Iron Lady,' which surely is a sexist term, as it refers to her gender. When she died in 2013, Britons were not sure how they felt. Was she a hero, or not? Perhaps this was more about her politics than her gender. It's still a question asked about women in power in the UK today.  
",1
"   The last couple of years have been difficult for my country. The biggest factor was that the bottom dropped out of the financial market, and a lot of people lost their jobs. Unemployed people don't pay taxes, so it's been difficult for the government as well. Most people were happy just to keep a roof over their heads and food on the table. Unfortunately, many people lost their homes because they couldn't pay their mortgages. Things seem to be turning around now. More people are picking up work, and the government is collecting more taxes from people who are working again. Things are looking up, but I think people will be thriftier in the future.  ",1
"I recently attended a presentation about team procedures. I have to admire how calm the presenter was. Her voice was clear, and she looked at people around the room instead of just staring at her notes. Another thing she did well was to summarize her key points in the conclusion. I left the presentation remembering each important idea. And her flowcharts were compelling. One of them perfectly explained a procedure I had never really understood before.   On the other hand, one thing she could have done differently was to grab people's attention during the opening. If she had given us an interesting fact or figure, for example, I think some people would have felt more motivated. Finally, I would have liked it if she had given more examples of the payroll procedures. I'm still not sure how to complete a time report. Overall, the presentation was very helpful and well-prepared. 
       ",1
"A lot of people I know have taken up extreme sports in the last few years. Even some people who wouldn't strike you as extreme sports types. If you can believe it, my parents went white-water rafting last year. My mother said it was absolutely amazing, and my father said it was a rush. After that, I decided it was time for me to try something as well, or I'd never hear the end of it. I took some training in rock climbing, and I was surprised how much I loved it. I didn't know what I was missing. Honestly, I regret that I didn't start a lot earlier. Next for me is surfing. I do have a fear of the ocean, but I am going to face my fear. Actually, I'm looking forward to it.  
",1
"I have a really good life. I'm a science instructor at a state university, and my husband and I own a new, comfortable house. My parents live nearby, so I get to spend time with them. I have a certain amount of stress from work, although I do take summers off. As far as money goes, I occasionally get a little nervous because our house payments are quite high. Fortunately, we don't have to live from paycheck to paycheck. The fact is we've got everything we need and more. However, sometimes I feel that something is missing. You see, my husband and I don't have children. Our social life is rather slow. As a result, I get a little lonely. Last year, I thought long and hard about whether I wanted to adopt a child. I even called an adoption agency. In the end, I decided I was just having a mid-life crisis. Life isn't perfect, but I'm learning to enjoy the good things while I try to accept the difficult things.  
",1
"I graduated from college with a background in business administration. I had been looking for jobs when my father suggested that I volunteer at a political organization. What a fantastic experience! If only I had done that sooner, I would have realized that volunteering is a great way to network and meet people. Soon afterward, I had interviews at several companies whose employees had also volunteered. Following the interviews, I was offered a job with a large homebuilder. I was always determined to work in the real estate industry in some way, shape or form. I gladly took the job and have remained passionate about my work ever since, although, frankly, things were difficult in the years after the bubble burst. For the last five years, I have been negotiating purchase contracts at a successful real estate development company in the valley. As soon as the market picks up enough, I hope to open my own development company.  


",1
"The smartphone my wife gave me was a bit of a surprise. I already had a phone, but not a 'smart' one. At first, I wasn't sure about it. I thought it might be overwhelming. I'm certainly no tech expert. However, I've had the phone for a month now, and I can honestly say I don't know what I'd do without it. I've become dependent on it. I use it to keep in touch by text, phone and email with my family and friends; I'm able to access the internet when I need news or information; and I love to take pictures. One big advantage is that the phone has a built-in camera. I can take a picture and immediately send it to friends. The quality of the photos is surprisingly good. Let me see – are there any downsides? Well, maybe one: I'm having some kind of problem with the battery. It just doesn't last very long. I have to charge it every two or three days.  
",1
"I used to not think about life too much. I mean, I was happy and everything, but I never really thought about what was important. Well, that all changed last year when my mother died. It was completely unexpected. She had a heart attack, and that was it. It took me a very long time to deal with her death, but in the end I actually learned some valuable lessons. My mother lived every day as if it were her last. She never wasted time worrying, complaining or being angry about things. She always tried to see the good in things and be positive. She told me that I should do the same. What I know now is that every single day of your life is, in fact, very important: it's a gift that shouldn't be wasted. My mother didn't waste time on stupid or unimportant things, and I'm not going to do that, either. 
 ",1
"Growing up with my grandmother in West Java, Indonesia, I heard inspiring stories from the Wayang Kulit, which is our native puppet theater. Wayang Kulit is an 800-year-old performance art unique to Indonesia culture. The Wayang are flat puppets that are attached to a stick, different from the puppets that look like humans attached to strings. The puppeteer cuts exquisite, complex facial and body patterns into each of his puppets. A puppeteer takes weeks drawing, cutting and painting a puppet, but it's well worth his time. For the performance, always under a warm night sky, the puppeteer sits next to a cotton screen in front of an oil light. He holds his puppets up against the screen. The oil light streams through each puppet, creating mysterious, dancing shadows on the screen. Frankly, there's absolutely nothing else like Wayang Kulit in the world. Thanks to the puppeteer's expert control and choreography, the shadow puppets traditionally perform for about eight hours, telling the audience universal stories of life and death, and good winning over evil.  
",1
"We have a lot of farmers in my country. We also have a lot of wolves. From a social point of view, I think it's safe to say that farmers and wolves don't get along. Wolves kill farmers' animals, and so farmers kill wolves.  Wolves are endangered now, which means there aren't a lot of them left. So the government made a new law that it's illegal to kill a wolf. From an environmental point of view, the law is probably a good idea, but what about the farmers? If a farmer shoots a wolf now, he's a criminal. He has to pay a fine, or he might even go to prison. To my mind, that's not fair. The farmers have rights, too. If you ask me, making laws is a complicated business, and as many people as possible need to be involved. There has to be a way that makes everybody happy. Maybe the farmers could get compensation if one of their farm animals is killed? Maybe the local authority could send in people to catch the wolf so the farmer didn't have to kill it? Whatever the solution is, let's hope it suits both farmers and wolves.  
",1
"When I was growing up, I read books printed on paper. I'd read anything –  graphic novels; autobiographies; nature magazines; and my favorite, crime fiction. Somewhere along the way, I've transitioned from paper to electronic media. In the early 2000s, I read my first e-book. It was a 1930s classic: 'Their Eyes Were Watching God,' written by Zora Neale Hurston, written before digital communications media was even born. Now, I read my novels and news on a tablet. I do research for work on search engines, blogs, magazines and online dictionaries.     I've noticed some huge differences in my habits, too. With paper media, I would use my fingers to turn a page; with electronic media, I tap or swipe my screen to go to the next page. Sometimes news articles contain links. I can tap the link and be taken to an entirely new world of information. In fact, I do a different finger dance made from a complex series of taps and swipes to accomplish certain goals. None of this was possible with paper books and, frankly, sometimes all this digital interaction can become a little distracting. In all, however, I enjoy it.  
",1
"In the UK, even in this day and age, table manners are considered important. This applies even more when you're eating in a formal situation at someone's house. First of all, if you have any special diet requirements, your hosts will expect to be told about them in advance. Do not spring any last-minute surprises. Take a small gift with you: A bottle of wine, flowers or chocolates are all acceptable. Wait until your hosts begin eating, or they say it's okay for you to do so; this shows that you are considerate. Don't make phone calls or send text messages while you are at the table. It's considered extremely bad manners. When it comes to cutlery, the soup spoon is generally on the right, to the outside of the knife; the fork is on the left; and the dessert spoon is above the dinner plate. However, if you are not sure which of the silverware to use, you can employ a strategy I use myself when in similar situations: Watch what others do, and then do that, too. Good luck, and enjoy your meal! 
 ",1
"To create a successful project and solid teamwork, I propose that companies use the SWOT analysis technique. SWOT helps a business evaluate internal and external strengths, weaknesses, opportunities and threats. Let's say you carry out a SWOT analysis at the beginning of a project. The first thing is to make sure that project goals are clear. Then, I'd say you should make a list of questions to satisfy each element of the SWOT analysis. You want to make sure all the major project tasks are covered and identify possible risks.      My thought then would be to take SWOT even further. Team members could collaborate on a SWOT analysis of the team itself, making them a stronger team and developing mutual trust. For example, if the team spends time identifying their strengths, then the resulting information can actually motivate the team. And, as they identify weaknesses, they become more aware of how to prevent future problems.      Once you complete a SWOT analysis, I suggest that you review it frequently. Change the questions and answers as the market changes, and focus on taking advantage of your strengths and opportunities and reducing your weaknesses and threats.
  ",1
"What makes a successful leader is hard to define. Take me, for example. Most of my adult life I was more of a follower than a leader. I've always had a hard time persuading others, and I lack most of the characteristics that we associate with a strong leader, like charisma and drive. It wasn't until five years ago, when I was hired by a new company and ended up in a management training course, that things began to change for me. At first, I thought I would never be able to develop leadership qualities. Among the biggest challenges for me was just feeling comfortable in front of a large group. But the leader of the course earned my trust and, before I knew it, I was being asked to help others. Now I'm the manager of my department, and my boss is very happy with my performance. I don't think I'm the best leader in the world, but my staff respects me and I feel confident. The most important thing that I've learned is this: Never underestimate yourself.  
",1
"English, my second language, has played a major role in my life. I learned the most English between ages 6 and 12. My family lived in the US during those years, and I studied and used English in an international school. In school, I had to write essays in English. I spoke English every day after school as I played with the children in my neighborhood. We sang songs and played games, all in English. I was keen to learn English because it helped me make friends I never would have had.      I soon realized that English gave me more than new friends. English also gave me better opportunities in life. I was accepted at Duke University in the US, which is a well-respected school. A major reason I was accepted was because I was fluent in English. I think that the university appreciated that I am also fluent in French, my native tongue. After I graduated from Duke, I moved back to France to be with my family. There, I had a number of employment opportunities because my English was so good. Beyond giving me better opportunities, English has simply made my life more enjoyable.  
",1
"My girlfriend used to date this guy in her office. They broke up after almost 18 months. It was a bit tough for both of them after that, working in the same office and seeing each other every day, but they ended up being really good friends. I wish all relationships could end like that. The guy eventually met someone else, and they ended up getting married. My girlfriend was even invited to the wedding, but she didn't go because the guy's new wife hates her. The wife knows about the previous relationship, and she's really jealous. Anyway, the other night my girlfriend was at the same party as this guy, and she wanted to congratulate him for getting a promotion, so she gives him a big hug. No kiss or anything – she just put her arms around him. Just at that moment, the wife walks up and gets really jealous. My girlfriend said her face was all red. She was so angry that she threw her glass of wine in her husband's face and ran off. Can you believe it? Talk about awkward!  
",1
"I became aware of the importance of office politics when I was up for my last promotion. My colleague had spent a lot of time networking, and had become involved with some exciting projects. She got the promotion; I didn't. Obviously, she was more than just talented and sociable: she was an expert at office politics. By contrast, I work hard, but I'm shy and quiet. Of course, my personality and habits put me in a bad position when it's time for a promotion.      

Since then, I've tried harder to play the game. For example, I like my colleague who got the promotion, so I've been collaborating with her. Once in a while, I'll ask her for advice. Indeed, she's become my mentor. One of the things she's taught me is that office politics isn't necessarily a war. You don't have to compromise your ideals. You can achieve what you want without being deceptive or placing blame. Instead, get to know your colleagues. Show them respect. Try to understand their ideas. Chat with your boss. He or she can be your biggest advocate. Admittedly, I'm still sometimes uncomfortable practicing office politics. Nevertheless, it has helped me grow as an employee. 
 ",1
"I think most people would agree that successful people are passionate, persistent and probably pretty competitive. The thing that strikes me, however, is that you can have these traits, but that doesn't necessarily mean you'll be successful. I think you also need to have a great idea or some kind of vision that nobody else has. When I think of successful people, I think of Steve Jobs. People say he could lose his temper and didn't always listen to others, but he had fantastic ideas. That's what mattered more than anything else.      I guess it's true that he surrounded himself with incredibly talented people, but who wouldn't want to work with him? He could pick and choose who he wanted to work with because he had the ideas. He also understood what people wanted, maybe before people even knew what they wanted themselves. That was his genius. He could imagine the world in a way that no one else could and make it become a reality. His passion, his creativity and his inner drive made him one of the most successful and innovative people of our generation.  
",1
"The historic architecture of Bruges, in Belgium, is marvelous. The city is well-known for its Gothic buildings, with their pointed arches and celebratory spires, built in roughly between the 13th and 16th centuries. Some of the most exquisite buildings are centered around Market Square, the heart of the city. If you visit Bruges, I recommend you stay in the Grand Hotel Casselbergh, an 18th-century building with a contemporary wing that blends in beautifully. The hotel is conveniently situated in the center of the old city.           

Near the Casselbergh is the fabulous City Hall, the oldest city hall in Belgium, the Netherlands and Luxembourg. There's also the Church of Our Lady, which houses a lovely Michelangelo sculpture and is also the tallest building in the city. The spire itself is 122 meters! There is one modern building worth mentioning: the somewhat overwhelming Concertgebouw, a concert hall. Although I'm pleased the city decided to construct something that reflects the current time, the building itself is not all that inspiring, in my opinion. Overall, however, I have no doubt that you will completely enjoy a trip to Bruges and learn much about world history from our unique city.  
",1
"The whole question of CSR is a difficult one. There are powerful arguments on both sides of the issue.      On the one hand, it can be argued that corporations owe nothing to society other than running their businesses, paying taxes and following the laws of the country. The job of taking care of society is for the government. People don't ask politicians to make products, so why should we ask companies to solve society's problems?      

On the other hand, companies have a big impact on society. If a company's factory pollutes the environment, then it should pay to clean it up. If a company hires workers, it should provide fair pay and benefits. Companies can also help the communities where they operate. After all, that community is letting them do business there. It's a two-way street.      

Personally, I'm in the middle. I think a company has to follow the law and be held responsible if it does something that negatively affects people or a community, but I also think you can't force companies to do good. Corporations can be a force for good in the world, but only if they decide that it's in their own best interest.  ",1
"Green business is important to me. If a business is truly green, then I think it is doing its part to be environmentally friendly. To be truly green, a business should consider using renewable energy, such as solar or wind power, or an office with a green roof. Businesses that sell green products have to conserve natural resources as much as possible by using organic, recycled and biodegradable materials in their products and packaging.      

I don't go out of my way to buy green products, but I will pay a lot more for certain items. It's not always easy to find truly green products in my neighborhood, and I don't want to waste gasoline by driving around to buy green products. However, I am concerned about the food I eat, so I make sure to shop at green grocery stores. I'll sacrifice other luxuries in my life to make sure I'm eating healthy food. Of course, you have to take a company at its word that the product is truly green, which is why I buy from companies I know a lot about.  
",1
